Time,CarSpeed,rPedal,pBrakeF,pBrakeR,aSteering,Gy_FLT,Gx_FLT,pTyre_FL,pTyre_FR,pTyre_RL,pTyre_RR,TTyre_FL,TTyre_FR,TTyre_RL,TTyre_RR,
0:00,55.6,69.4,0.0,-0.2,-1.6,0.0,0.002,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:02,55.6,69.3,-0.1,-0.2,-2.0,0.0,-0.008,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:04,55.6,69.5,-0.1,-0.2,-1.8,0.0,-0.015,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:06,55.6,69.6,0.1,0.0,-1.4,0.0,-0.019,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:08,55.6,69.6,-0.1,-0.3,-1.8,0.0,-0.017,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:10,55.6,69.6,0.0,-0.2,-1.6,0.0,-0.011,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:12,55.6,69.6,-0.1,-0.2,-1.4,0.0,-0.002,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:14,55.6,69.8,-0.1,-0.3,-1.0,0.0,0.006,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:16,55.5,69.7,-0.1,-0.1,-1.2,0.0,0.010,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:18,55.5,69.4,0.0,-0.1,-1.2,0.0,0.009,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:20,55.6,69.5,-0.1,-0.1,-1.0,0.0,0.002,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:22,55.6,69.4,0.1,-0.3,-1.2,0.0,-0.008,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:24,55.6,69.6,-0.1,-0.2,-1.0,0.0,-0.017,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:26,55.6,69.6,-0.1,-0.2,-1.0,0.0,-0.024,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:28,55.6,69.6,-0.2,-0.3,-1.0,0.0,-0.026,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:30,55.6,69.4,0.0,-0.3,-1.2,0.0,-0.021,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:32,55.6,69.5,-0.1,-0.1,-1.8,0.0,-0.012,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:34,55.6,69.6,0.0,-0.2,-1.6,0.0,-0.002,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:36,55.6,69.6,-0.1,-0.2,-1.6,0.0,0.006,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:38,55.6,69.8,-0.1,-0.2,-1.6,0.0,0.009,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:40,55.6,69.6,0.0,-0.1,-1.4,0.0,0.006,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:42,55.5,69.2,-0.2,-0.2,-1.8,0.0,-0.002,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:44,55.5,69.0,0.1,-0.2,-1.8,0.0,-0.014,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:46,55.5,69.2,0.0,-0.1,-1.8,0.0,-0.025,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:48,55.5,69.5,0.0,-0.2,-1.8,0.0,-0.033,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:50,55.6,69.4,-0.2,-0.3,-2.0,0.0,-0.035,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:52,55.6,69.6,-0.2,-0.2,-1.8,0.0,-0.030,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:54,55.5,69.6,-0.1,-0.1,-2.0,0.0,-0.020,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:56,55.5,69.6,0.1,-0.3,-1.8,0.0,-0.006,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:58,55.5,69.6,-0.1,-0.1,-1.8,0.0,0.008,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:60,55.5,69.6,-0.2,-0.1,-1.8,0.0,0.018,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:62,55.4,69.4,-0.1,-0.1,-1.4,0.0,0.025,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:64,55.4,69.4,0.1,-0.2,-0.8,0.0,0.027,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:66,55.4,69.5,-0.1,-0.3,-0.4,0.0,0.026,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:68,55.4,69.3,0.2,-0.1,-0.2,0.0,0.021,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:70,55.4,69.2,-0.1,-0.3,0.2,0.1,0.016,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:72,55.4,69.0,-0.1,-0.1,0.4,0.1,0.011,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:74,55.5,69.0,0.0,-0.2,0.8,0.1,0.007,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:76,55.5,69.5,0.0,-0.3,1.8,0.1,0.003,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:78,55.5,69.3,0.0,-0.2,2.2,0.1,0.001,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:80,55.5,69.4,0.0,-0.2,2.4,0.1,-0.001,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:82,55.5,69.5,-0.1,-0.1,2.6,0.1,0.000,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:84,55.5,69.5,0.0,-0.1,3.0,0.1,0.002,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:86,55.5,69.4,0.0,-0.1,3.6,0.1,0.006,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
0:88,55.5,69.2,0.0,-0.1,4.4,0.1,0.011,16.05,15.65,13.96,13.39,24,25.4,21.4,21.3,
