Time,CarSpeed,rPedal,pBrakeF,pBrakeR,aSteering,Gy_FLT,Gx_FLT,pTyre_FL,pTyre_FR,pTyre_RL,pTyre_RR,TTyre_FL,TTyre_FR,TTyre_RL,TTyre_RR,
0:00,225.0,103.3,0.0,0.1,-9.4,-0.7,0.173,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:02,225.3,103.5,-0.1,-0.1,-9.6,-0.8,0.234,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:04,225.5,103.2,0.4,-0.2,-8.8,-1.0,0.311,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:06,225.7,103.5,0.2,0.2,-7.8,-1.2,0.372,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:08,225.8,103.5,-0.4,-0.2,-7.4,-1.4,0.407,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:10,226.0,103.5,0.4,0.3,-6.8,-1.4,0.415,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:12,226.2,103.4,0.0,-0.1,-6.8,-1.4,0.398,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:14,226.4,103.4,0.0,-0.2,-6.8,-1.3,0.366,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:16,226.7,103.5,0.0,0.2,-6.6,-1.2,0.333,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:18,226.9,103.6,0.0,-0.1,-6.2,-1.2,0.310,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:20,227.1,103.2,0.2,-0.2,-5.8,-1.1,0.303,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:22,227.3,103.3,-0.3,0.1,-6.0,-1.0,0.315,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:24,227.5,103.3,0.3,-0.1,-5.8,-1.0,0.339,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:26,227.7,103.2,-0.1,-0.1,-5.2,-1.0,0.364,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:28,227.8,103.3,0.5,0.2,-4.2,-0.9,0.377,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:30,228.1,103.3,2.1,1.2,-3.6,-0.8,0.366,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:32,228.1,103.3,3.9,1.9,-2.6,-0.7,0.326,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:34,228.0,103.2,6.5,3.4,-2.0,-0.6,0.255,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:36,228.0,103.3,8.2,4.5,-1.6,-0.5,0.160,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:38,228.1,103.2,12.0,5.9,-1.1,-0.4,0.052,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:40,228.1,103.0,13.5,7.3,-0.5,-0.3,-0.059,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:42,227.8,103.0,17.2,10.7,-0.3,-0.2,-0.161,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:44,227.5,103.1,19.6,11.8,-0.5,-0.2,-0.248,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:46,226.8,103.2,21.7,12.6,-0.7,-0.1,-0.318,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:48,226.6,103.1,22.9,14.2,-0.7,-0.1,-0.373,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:50,226.6,103.0,23.6,14.6,-0.9,0.0,-0.417,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:52,226.4,103.1,26.8,14.9,-1.1,0.1,-0.456,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:54,226.1,102.9,26.2,16.4,-1.4,0.1,-0.494,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:56,225.5,103.0,29.8,17.0,-1.1,0.2,-0.530,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:58,224.9,103.0,30.8,18.2,-1.1,0.2,-0.563,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:60,224.1,102.9,30.8,18.7,-1.1,0.2,-0.592,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:62,223.8,102.9,32.9,19.0,-0.5,0.3,-0.611,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:64,223.9,103.0,32.2,19.9,-0.5,0.3,-0.621,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:66,223.6,102.7,34.2,19.7,-0.1,0.3,-0.619,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:68,223.0,102.7,33.6,19.2,0.2,0.3,-0.608,18.89,18.42,16.72,16.46,26.4,26,23.8,23.6,
0:70,222.1,103.0,31.0,19.7,0.4,0.3,-0.589,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:72,221.2,102.9,30.9,17.6,1.5,0.4,-0.565,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:74,220.4,102.7,27.3,17.4,2.5,0.4,-0.535,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:76,221.2,102.7,26.7,16.1,3.1,0.5,-0.500,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:78,221.6,102.6,24.1,13.7,2.9,0.5,-0.458,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:80,221.3,102.7,20.3,13.2,2.7,0.6,-0.406,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:82,220.9,102.6,20.5,11.5,2.5,0.6,-0.345,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:84,220.7,102.5,17.9,10.2,2.6,0.6,-0.274,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:86,220.1,102.6,14.9,9.6,3.1,0.7,-0.197,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:88,220.0,102.8,12.6,7.1,3.1,0.7,-0.118,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:90,220.3,102.6,9.4,5.2,3.5,0.7,-0.042,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:92,220.8,102.7,6.0,3.2,2.9,0.8,0.027,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:94,221.1,102.7,3.0,0.9,2.7,0.8,0.083,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:96,221.2,102.5,0.8,0.1,2.5,0.8,0.129,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
0:98,221.1,102.4,-0.1,-0.6,2.5,0.9,0.163,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:00,221.2,102.5,-0.2,-0.8,3.3,0.9,0.191,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:02,221.2,102.5,0.1,-0.4,4.3,0.9,0.216,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:04,221.2,102.5,-0.1,0.1,4.7,0.9,0.239,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:06,221.3,102.6,-0.1,0.6,4.7,0.9,0.263,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:08,221.7,102.5,-0.3,-0.2,4.7,0.9,0.287,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:10,222.1,102.4,0.2,-0.2,3.7,0.9,0.307,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:12,222.3,102.3,0.3,-0.1,3.7,1.0,0.322,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:14,222.6,102.3,-0.2,-0.1,3.5,1.0,0.327,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:16,222.9,102.3,0.2,-0.2,3.1,1.1,0.322,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:18,223.3,102.4,0.0,0.1,1.5,1.1,0.309,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:20,223.4,102.4,-0.3,0.1,0.0,1.1,0.290,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:22,223.2,102.5,0.2,-0.1,-0.1,1.1,0.271,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:24,223.0,102.3,-0.2,-0.2,0.3,1.1,0.257,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:26,223.1,102.3,0.1,-0.1,0.7,1.0,0.251,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:28,223.5,102.3,0.5,0.0,0.7,0.9,0.256,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:30,223.9,102.5,0.1,0.4,-0.3,0.9,0.271,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:32,224.2,102.4,0.1,-0.1,-0.7,0.8,0.292,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:34,224.3,102.2,-0.2,0.5,-0.7,0.8,0.316,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:36,224.3,102.3,0.5,-0.1,0.1,0.9,0.336,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:38,224.4,102.3,0.2,-0.1,1.5,0.9,0.348,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:40,224.6,102.4,-0.4,0.1,2.6,1.0,0.349,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:42,225.1,102.3,0.2,0.1,2.6,1.0,0.339,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:44,225.7,102.3,-0.2,0.5,0.3,1.1,0.320,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:46,226.1,102.3,-0.1,-0.3,-1.5,1.1,0.296,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
1:48,226.1,102.4,0.0,0.0,-3.1,1.1,0.273,18.73,18.42,16.57,16.32,26.4,26,23.8,23.8,
