Time,CarSpeed,rPedal,pBrakeF,pBrakeR,aSteering,Gy_FLT,Gx_FLT,pTyre_FL,pTyre_FR,pTyre_RL,pTyre_RR,TTyre_FL,TTyre_FR,TTyre_RL,TTyre_RR,
0:00,229.5,104.5,0.1,0.2,-3.4,-0.3,0.134,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:02,229.6,104.7,-0.2,0.0,-3.4,-0.4,0.193,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:04,230.0,104.6,-0.1,0.0,-3.2,-0.5,0.264,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:06,230.3,104.6,0.4,-0.1,-3.3,-0.5,0.317,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:08,230.6,104.5,0.2,0.1,-2.8,-0.6,0.345,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:10,230.8,104.5,-0.1,-0.3,-2.8,-0.6,0.349,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:12,231.0,104.6,-0.1,-0.1,-2.1,-0.5,0.331,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:14,231.0,104.6,-0.1,0.0,-2.4,-0.5,0.303,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:16,231.2,104.5,-0.1,-0.1,-2.1,-0.4,0.273,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:18,231.4,104.5,-0.1,-0.4,-2.8,-0.4,0.251,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:20,231.7,104.6,0.3,-0.2,-2.6,-0.4,0.241,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:22,231.8,104.5,-0.1,-0.4,-2.8,-0.3,0.245,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:24,232.0,104.5,-0.1,0.1,-2.4,-0.3,0.259,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:26,232.0,104.4,-0.1,0.1,-2.8,-0.3,0.276,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:28,232.1,104.6,0.1,0.3,-2.8,-0.3,0.290,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:30,232.3,104.6,-0.5,-0.1,-3.3,-0.3,0.297,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:32,232.5,104.5,0.0,-0.3,-3.3,-0.2,0.295,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:34,232.7,104.5,-0.1,-0.2,-4.1,-0.2,0.285,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:36,232.9,104.5,0.1,-0.2,-4.8,-0.2,0.272,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:38,233.3,104.5,-0.4,-0.2,-4.6,-0.2,0.259,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:40,233.5,104.6,-0.1,0.0,-4.6,-0.2,0.251,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:42,233.5,104.6,0.2,-0.1,-4.6,-0.2,0.250,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:44,233.5,104.5,0.1,-0.1,-4.8,-0.3,0.254,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:46,233.6,104.5,-0.1,-0.1,-5.0,-0.3,0.261,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:48,233.9,104.6,-0.3,-0.1,-5.0,-0.3,0.268,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:50,234.2,104.6,0.2,0.3,-4.8,-0.3,0.272,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:52,234.4,104.5,-0.2,0.0,-4.4,-0.3,0.271,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:54,234.5,104.5,0.1,-0.2,-4.2,-0.3,0.267,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:56,234.5,104.6,-0.1,0.3,-3.6,-0.3,0.260,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:58,234.5,104.6,0.1,0.0,-3.6,-0.3,0.254,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:60,234.7,104.5,-0.2,0.2,-3.6,-0.3,0.250,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:62,235.0,104.5,0.1,-0.1,-3.6,-0.3,0.248,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:64,235.3,104.5,-0.1,0.2,-3.0,-0.3,0.248,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:66,235.4,104.5,-0.1,-0.2,-2.8,-0.2,0.247,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:68,235.5,104.6,-0.1,0.0,-2.6,-0.2,0.246,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:70,235.4,104.5,-0.1,0.0,-2.4,-0.2,0.241,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:72,235.3,104.5,-0.1,0.1,-3.0,-0.2,0.235,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:74,235.6,104.5,0.3,0.5,-3.2,-0.2,0.230,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:76,236.0,104.5,-0.3,-0.1,-3.0,-0.2,0.228,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:78,236.3,104.5,0.1,0.3,-3.2,-0.2,0.232,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:80,236.4,104.4,0.2,-0.2,-3.0,-0.2,0.241,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:82,236.5,104.5,-0.1,0.1,-3.2,-0.2,0.254,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:84,236.4,104.5,-0.1,0.0,-3.4,-0.2,0.266,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:86,236.5,104.6,0.0,0.0,-4.2,-0.2,0.274,22.72,22.56,20.23,20.00,73,76.2,63.2,65.9,
0:88,236.8,104.6,-0.1,-0.2,-4.0,-0.2,0.273,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
0:90,237.2,104.4,0.0,-0.1,-4.0,-0.2,0.263,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
0:92,237.5,104.5,-0.1,0.4,-3.8,-0.2,0.244,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
0:94,237.5,104.5,-0.1,-0.2,-3.0,-0.1,0.221,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
0:96,237.6,104.5,0.4,0.1,-2.8,-0.1,0.202,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
0:98,237.6,104.5,-0.3,0.0,-2.8,-0.1,0.192,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:00,237.6,104.6,0.0,0.2,-2.6,-0.1,0.196,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:02,237.6,104.5,0.1,-0.2,-2.8,-0.1,0.213,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:04,237.9,104.6,-0.1,0.0,-2.6,-0.1,0.239,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:06,238.2,104.6,-0.1,0.2,-3.0,-0.1,0.266,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:08,238.3,104.5,-0.2,0.0,-3.2,-0.1,0.285,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:10,238.5,104.6,0.0,0.0,-3.0,-0.1,0.290,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:12,238.8,104.6,-0.3,-0.3,-3.2,-0.1,0.277,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:14,239.2,104.6,0.0,0.0,-3.4,-0.1,0.249,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:16,239.1,104.5,0.1,0.1,-3.4,-0.1,0.213,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:18,238.8,104.4,0.4,-0.2,-3.8,-0.1,0.179,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:20,238.8,104.7,0.0,0.1,-3.8,-0.1,0.157,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:22,239.1,104.4,-0.1,0.3,-4.2,-0.1,0.155,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:24,239.5,104.5,-0.1,0.2,-4.0,-0.1,0.173,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:26,239.8,104.5,0.1,0.2,-3.8,-0.1,0.208,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:28,239.8,104.5,0.2,-0.1,-3.6,-0.1,0.251,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:30,239.8,104.6,-0.1,0.0,-3.2,-0.1,0.290,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:32,239.6,104.5,-0.1,-0.2,-2.4,-0.1,0.315,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:34,239.8,104.5,-0.3,0.0,-1.0,0.0,0.320,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:36,240.3,104.5,-0.1,-0.1,-0.8,0.0,0.303,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:38,240.6,104.6,-0.1,0.5,-0.6,0.0,0.271,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:40,241.0,104.3,0.2,0.0,-0.8,0.1,0.232,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:42,241.0,104.3,0.3,-0.2,-1.0,0.1,0.196,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:44,240.8,104.5,-0.2,-0.1,-1.2,0.1,0.172,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:46,240.8,104.6,-0.4,-0.2,-1.4,0.1,0.165,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:48,241.0,104.5,0.1,0.0,-1.8,0.1,0.175,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:50,241.1,104.5,0.3,-0.1,-1.8,0.1,0.196,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:52,241.3,104.4,-0.1,-0.1,-2.6,0.1,0.221,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:54,241.5,104.3,0.1,0.3,-3.2,0.1,0.241,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:56,241.7,104.5,-0.1,0.2,-3.4,0.1,0.251,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:58,241.9,104.5,0.1,0.1,-3.8,0.1,0.248,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:60,242.0,104.3,0.1,-0.2,-4.4,0.1,0.235,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:62,242.1,104.5,-0.2,0.2,-4.2,0.1,0.216,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:64,242.3,104.4,-0.2,0.0,-4.2,0.1,0.198,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
1:66,242.4,104.5,-0.1,-0.2,-4.0,0.1,0.184,22.66,22.56,20.18,20.00,73,76.2,63.2,65.9,
